s1,1,0,1,2,
s2,0,0,0,0,
s3,1,1,1,10,
s4,1,1,1,10,
s5,1,1,1,10,
s6,1,1,1,10,
s7,1,1,1,10,
s8,1,1,1,10,
s9,1,1,1,10,
s10,1,1,1,10,
s11,1,1,1,10,
s12,1,1,1,10,
s13,1,1,1,10,
s14,1,1,1,10,
s15,1,1,1,10,
s16,1,1,1,10,
s17,1,1,1,10,
s18,1,1,1,10,
s19,1,1,1,10,
s20,1,1,1,10,
s21,1,1,1,10,
s22,1,1,1,10,
s23,1,1,1,10,
s24,1,1,1,10,
s25,1,1,1,10,
s26,1,1,1,10,
s27,1,1,1,10,
s28,1,1,1,10,
s29,1,1,1,10,
s30,1,1,1,10,
s31,1,1,1,10,
s32,1,1,1,10,
s33,1,1,1,10,
s34,1,1,1,10,
s35,1,1,1,10,
s36,1,1,1,10,
s37,1,1,1,10,
s38,1,1,1,10,
s39,1,1,1,10,
s40,1,1,1,10,
s41,1,1,1,10,
s42,1,1,1,10,
s43,1,1,1,10,
s44,1,1,1,10,
s45,1,1,1,10,
s46,1,1,1,10,
s47,1,1,1,10,
s48,1,1,1,10,
s49,1,1,1,10,
s50,1,1,1,10,
